Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
AIR,European Aeronautic Defence and Space NV,152,EUR,162.9,169.509736842105,0.64,"-1,004.68",24760.8,-3.90
BAESY,BAE Systems plc - ADR,559,USD,67.3,68.6474483605374,1.04,-707.80,35352.1523816683,-1.96
BDRBF,Bombardier Inc. - Ordinary Shares - Class B (Sub Voting),949,USD,41.74,42.2967213340296,-0.84,-496.47,37222.6805867484,-1.32
BTI,British American Tobacco Plc - ADR,790,USD,28.605,30.9662142197599,-0.02,"-1,752.88",21235.2819568302,-7.63
BUD,Anheuser-Busch In Bev SA/NV - ADR,528,USD,58.31,60.3719879518072,-0.36,"-1,023.08",28931.1670127893,-3.42
BYD,Boyd Gaming Corp.,364,USD,65.2118,64.4157295373665,0.81,272.30,22305.7361135909,1.24
CURLF,Curaleaf Holdings Inc,13383,USD,4.75,5.28533064335351,-0.08,"-6,732.32",59735.9914299407,-10.13
CZR,Caesars Entertainment Inc,485,USD,40.77,41.1595641646489,0.67,-177.55,18581.1007639757,-0.95
DKNG,DraftKings Inc - Ordinary Shares - Class A,1122,USD,44.52,46.3939146991622,0.30,"-1,975.75",46939.342398301,-4.04
GD,General Dynamics Corp.,194,USD,288.135,285.352438808424,0.27,507.27,52527.5003054023,0.98
GTBIF,Green Thumb Industries Inc - Ordinary Shares (Sub Voting),2193,USD,12.4,13.3329356568365,-0.35,"-1,922.56",25553.4360111636,-7.00
HEI,Heineken NV,239,EUR,88,85.3769037656904,0.18,626.92,21032,3.07
HO,THALES,381,EUR,158.8,153.235826771654,2.50,"2,119.95",60502.8,3.63
LMT,Lockheed Martin Corp.,98,USD,454.58,437.041652173913,4.18,"1,615.12",41862.5219654754,4.01
LVS,Las Vegas Sands Corp,573,USD,50.98,51.0833158813263,0.55,-55.63,27450.0690679121,-0.20
MGM,MGM Resorts International,683,USD,43.135,44.2023875432526,0.66,-685.07,27684.6791396111,-2.41
MNST,Monster Beverage Corp.,141,USD,54.68,60.5828934010152,-0.33,-782.12,7244.97025851133,-9.74
MO,Altria Group Inc.,456,USD,41.15,44.5121052631579,0.10,"-1,440.67",17632.8969995395,-7.55
NOC,Northrop Grumman Corp.,35,USD,462.035,465.011298701299,5.93,-97.89,15196.0917898456,-0.64
PEP,PepsiCo Inc,295,USD,167.46,173.005698630137,-0.64,"-1,537.33",46421.812304425,-3.21
PM,Philip Morris International Inc,457,USD,88.78,94.5928446389497,-0.07,"-2,496.28",38125.9197308701,-6.15
RHM,RHEINMETALL,101,EUR,543.2,498.231683168317,10.40,"4,541.80",54863.2,9.03
RRR,Red Rock Resorts Inc - Ordinary Shares - Class A,693,USD,60.22,58.2450360750361,0.37,"1,286.12",39215.9711324318,3.39
RTX,Raytheon Technologies Corporation,663,USD,101.23,95.3145550527904,1.13,"3,685.44",63068.3913284532,6.21
SAM,"Boston Beer Co., Inc. - Ordinary Shares - Class A",43,USD,282.9,306.393298969072,-2.75,-949.30,11431.1623142919,-7.67
STZ,Constellation Brands Inc - Ordinary Shares - Class A,100,USD,261.3,267.6404,-0.94,-595.81,24554.3475196632,-2.37
TAP,Molson Coors Beverage Company - Ordinary Shares - Class B,505,USD,65.83,67.6672079207921,-0.51,-871.84,31239.5106045087,-2.72
TDG,Transdigm Group Incorporated,28,USD,1227.92,1207.3618466899,7.54,540.92,32308.5221346213,1.70
WYNN,Wynn Resorts Ltd.,446,USD,100.43,103.9466367713,-0.75,"-1,473.84",42090.8125581439,-3.38
