Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
AIR,European Aeronautic Defence and Space NV,38,EUR,168.02,166.418947368421,0.06,60.84,6384.76,0.96
BAESY,BAE Systems plc - ADR,507,USD,67.89,68.6707763975155,0.48,-365.57,31786.7017592464,-1.14
BDRBF,Bombardier Inc. - Ordinary Shares - Class B (Sub Voting),860,USD,43.82,42.1639169139466,1.21,"1,315.26",34801.8654476613,3.93
BTI,British American Tobacco Plc - ADR,1083,USD,29.6,30.9662142197599,-0.07,"-1,366.40",29604.100290899,-4.41
BUD,Anheuser-Busch In Bev SA/NV - ADR,664,USD,59.96,60.3719879518072,0.42,-252.63,36767.2715519232,-0.68
BYD,Boyd Gaming Corp.,562,USD,66.13,64.4157295373665,0.47,889.71,34321.5219097751,2.66
CURLF,Curaleaf Holdings Inc,7896,USD,5.6,5.15005319148936,0.39,"3,280.95",40834.4646072863,8.74
CZR,Caesars Entertainment Inc,826,USD,42.91,41.1595641646489,0.58,"1,335.24",32731.8280463591,4.25
DKNG,DraftKings Inc - Ordinary Shares - Class A,408,USD,47.2,44.8957654226961,1.83,868.20,17784.1806344369,5.13
GD,General Dynamics Corp.,123,USD,295.18,278.144171779141,1.96,"1,935.09",33529.2422773237,6.12
GTBIF,Green Thumb Industries Inc - Ordinary Shares (Sub Voting),2984,USD,14,13.3329356568365,0.85,"1,838.22",38579.6740084037,5.00
HEI,Heineken NV,217,EUR,87.12,85.2022119815668,-0.94,416.16,18905.04,2.25
HO,THALES,346,EUR,159,152.293641618497,1.10,"2,320.40",55014,4.40
LMT,Lockheed Martin Corp.,115,USD,455.38,437.041652173913,1.34,"1,947.56",48361.9153160641,4.20
LVS,Las Vegas Sands Corp,520,USD,53.18,50.8217115384615,0.59,"1,132.48",25537.7937849194,4.64
MGM,MGM Resorts International,867,USD,46.53,44.2023875432526,0.67,"1,863.64",37254.9383571132,5.27
MNST,Monster Beverage Corp.,591,USD,55.9,60.5828934010152,0.15,"-2,555.84",30509.2118021887,-7.73
MO,Altria Group Inc.,713,USD,41.65,44.5121052631579,0.12,"-1,884.55",27424.3431684906,-6.43
NOC,Northrop Grumman Corp.,77,USD,454.5,465.011298701299,-4.98,-747.44,32318.8807314032,-2.26
PEP,PepsiCo Inc,365,USD,169.14,173.005698630137,-0.51,"-1,303.02",57012.6056240476,-2.23
PM,Philip Morris International Inc,415,USD,89.48,95.0536144578313,-0.62,"-2,136.08",34293.0230410491,-5.86
RHM,RHEINMETALL,92,EUR,536.8,492.130434782609,-0.20,"4,109.60",49385.6,9.08
RRR,Red Rock Resorts Inc - Ordinary Shares - Class A,628,USD,61.55,57.8367197452229,1.70,"2,153.52",35695.9874405504,6.42
RTX,Raytheon Technologies Corporation,601,USD,101.69,94.6568552412646,2.38,"3,903.51",56439.6638500254,7.43
SAM,"Boston Beer Co., Inc. - Ordinary Shares - Class A",97,USD,294.75,306.393298969072,-1.24,"-1,042.99",26403.2414461837,-3.80
STZ,Constellation Brands Inc - Ordinary Shares - Class A,175,USD,265.63,267.6404,1.32,-324.90,42928.6143048437,-0.75
TAP,Molson Coors Beverage Company - Ordinary Shares - Class B,458,USD,67.35,67.7161790393013,-0.03,-154.88,28486.2169275523,-0.54
TDG,Transdigm Group Incorporated,26,USD,1235.28,1204.4512195122,30.92,740.22,29659.952902064,2.56
WYNN,Wynn Resorts Ltd.,230,USD,107.46,99.4168695652174,1.34,"1,708.38",22824.7679734035,8.09
